batch_id	record_id	verdict	source_locations	repair	ontology_gap
A001	V2-P009	MAJOR	Full article: Introduction, final paragraph | Full article: Methods, opening paragraphs | Full article: Methods—Socioeconomic variables | Full article: Methods—Classification of economic impact, Table 1 | Full article: Methods—Definition and estimation of intangible effects | Full article: Methods—Sensitivity analysis | Full article: Results, opening paragraph | Full article: Discussion—limitations | Full article: Discussion, paragraph beginning “Our study was subject to a number of assumptions” | Full article: Funding | Full article: Competing interests	Keep the inclusion decision, application-only relation, explicit EuroQol connection, publication form, single Study, ECONOMIC_BURDEN_RESEARCH family, primary purpose, and principal findings. Correct the main data-origin and activity-role mapping. The authors included an economic questionnaire in NESTT and the contemporaneous eye-care-system survey for this investigation; they do not describe these simply as unrelated reused datasets. Remove “Reused” from part1 and part2. Map collection designed for this economic-burden investigation as CURRENT_STUDY_COLLECTION, and change the applicable questionnaire, sampling, assessment, protocol, and Epi Info contexts from SOURCE_STUDY_ACTIVITY to DIRECT_CURRENT_ACTIVITY. Retain PRIOR_RESEARCH_COLLECTION only for data that the article clearly identifies as previously collected for another investigation. Add the exact main instrument label “economic questionnaire included in the National Eye Survey of Trinidad and Tobago (2014).” Keep the medical, ophthalmic, and socioeconomic questionnaires as distinct uses where their functions or response samples differ. Add the separately reported low-vision questionnaire for participants with best-corrected visual acuity worse than 6/18. Split adm1: questionnaire self-report and examiner visual-acuity assessment must not share one mixed Administration. Add the reported recall periods to the applicable questionnaire administrations: past 12 months for service use, purchases, employment, sick leave, travel, and specified treatments; past 3 months for topical ophthalmic medication; past month for informal care; and past year plus current aid ownership for low-vision support. Split du3 and du4 into one DataUse per actual source. Do not combine government price lists, supplier quotations, Ministry communications, published low-vision-aid costs, and public documents in one DataUse. Also separate the population estimate, earnings data, life-expectancy input, value-of-statistical-life input, GDP deflator, and exchange-rate source. Preserve the selected WHO disability weights exactly: 0.047 for near VI, 0.005 for mild distance VI, 0.089 for moderate distance VI, 0.314 for severe distance VI, and 0.338 for blindness. Add the central productivity limitation that individual income was not collected, so productivity loss was derived from employment gaps and population earnings. Add the reported assumptions that labour market prices approximate the opportunity cost of the employment gap and that private-sector prices containing profit reflect societal opportunity costs. For EuroQol provenance, cite the Competing interests section and project_id 341-RA. Do not cite the Funding section as evidence of EuroQol funding: that section names the Ministry of Health and Fight for Sight, while EuroQol grants and travel support are disclosed for HB under Competing interests.	
A002	V2-P010	MAJOR	Full article: Methods, opening paragraph | Full article: Methods, recruitment paragraph | Full article: Methods, participant-procedure paragraph | Full article: Methods, data-analysis paragraph | Full article: Results, opening paragraph | Full article: Results, Part 2, Comprehension | Full article: Table 3, Clarity of instructions, Helps understand how patient compares, and Preferred material | Full article: Limitations, paragraph 1	Keep the inclusion decision, explicit EuroQol support, publication form, single Study, APPLIED_USE_RESEARCH family, purpose, status, principal findings, interpretations, and reported limitations. Correct the following items. (1) Add the custom “researcher-administered checklist with closed- and open-ended questions” as an InstrumentUse for each formal evaluation part, with DIRECT_CURRENT_ACTIVITY and OUTCOME_MEASURE. Preserve its reported content: 9 comprehension items, 5 usefulness items, and 4 visual-appeal items. Link Outcomes o1–o3 to these checklist uses. Retain EQ-5D-5L as the CURRENT_STUDY_OBJECT/VISUALIZATION_OBJECT, but do not make it the instrument that measured comprehension, usefulness, or appeal. Keep mu2 and mu3 as the quantitative and qualitative data-collection methods. For the pilot part, add a separate use of the checklist as the DEVELOPMENT_OBJECT because the checklist was piloted and improved. (2) Delete sf1 and sf2. The visualization versions are task profiles already represented in td1 and td2, not StudyFactors. Replace Finding references to sf1 and sf2 with references to td1 and td2 as applicable. (3) Change the allocation structure for formal Parts 1 and 2 from NOT_APPLICABLE to NOT_REPORTED. The Limitations section says participants typically evaluated Part 1 or Part 2 separately, which indicates assignment to a study component, but the source does not report how that assignment occurred. (4) Add a SourceConflict for Part 2. The narrative states that all participants found the instructions clear and that 95.8% agreed Version 2 helped them understand comparison with others. Table 3 instead reports 25/25 clear responses for Version 1, 24/25 for Version 2 with one nonresponse, and 23/25 (92%) for the Version 2 comparison item. Keep the table values in the findings and preserve both narrative and tabular assertions in the conflict. (5) Remove “Edmonton” from pop1 geography. The article identifies Alberta, Canada, and an urban hip-and-knee clinic, but it does not identify the clinic city. (6) Part-scope or duplicate uses confined to the two formal evaluation parts, including the demographics DataUse, formal recruitment method, quantitative and qualitative analysis methods, and Excel/R/ATLAS.ti uses; they must not appear to govern the separate pilot part. Add DATA_MANAGEMENT SoftwareUses for R and ATLAS.ti because the Methods section says these programs also managed the respective data. (7) In td2, set task duration to unreported or null. “1-year post-surgery” is the time represented by the prototype, not the duration of the participant’s review task. Keep it as a task profile or reference point. (8) In adm3 and adm4, remove the hypothetical severe-pain patient description from the administration perspective field. Keep that fact in td1 and td2; the source does not report a separate reporting or valuation perspective for checklist administration.	
A003	V2-P011	MAJOR	Full article, METHODS > Data, paragraph 2 | Full article, METHODS > Inclusion and Exclusion Criteria of the Sample | Full article, METHODS > Peripheral Nerve Block Utilization, Complication Incidence, and Length of Stay (Outcomes), paragraph 1 | Full article, METHODS > Statistical Analysis, final paragraph | Full article, RESULTS > Association of Patient and Hospital Variables with Utilization of PNBs > TKA; Table 2 | Full article, RESULTS > Population Attributable Risks for Utilization of PNB, final paragraph; Table 3 | Full article, RESULTS > Model Performance; Table 2 | Full article, DISCUSSION > Strengths and Limitations	Keep the inclusion decision, EuroQol support, publication form, one-Study structure, APPLIED_USE_RESEARCH family, purposes, THA/TKA parts, principal models, findings, and existing source conflicts. Add the omitted primary-outcome ascertainment: record the direct current use of CPT, ICD-9, and ICD-10 codes to identify PNB use, with the day-of-surgery or one-day-before/after window, and link these uses to outcome o1. Also record their use for arthroplasty and diagnosis identification where applicable. Do not label the initial 241,326-person cohort or the 153,322-person post-eligibility cohort as ENROLLED: this claims study did not enroll participants. Remove those stage assertions and attach an UNMAPPED_VALUE gap for their sample stages. Change the outcome family for 90-day all-cause readmission and length of stay greater than 3 days from HEALTH_STATUS_OR_EQ_VAS to ECONOMIC_OR_BURDEN because they are health-service resource-use outcomes. Add the omitted demographic sequential PAR values to f2: 7% for THA and 3% for TKA. Add a SourceConflict for the TKA nonosteoarthritis estimate: Table 2 and the Abstract give 95% CI 0.34–0.37, but the TKA Results narrative gives 0.33–0.37. Add a second SourceConflict for TKA model performance: Table 2 gives c-statistic 0.87, while the Model Performance narrative gives 0.86. Add source-reported limitations that prior primary joint replacement before Medicare enrollment could not be determined, interactions were not estimated, and model standard errors did not account for potential clustering.	The controlled sample_stage vocabulary has no suitable value for an initially identified administrative-claims cohort or an eligibility-qualified cohort before complete-case analysis. Use UNMAPPED_VALUE for sam1 and sam3; do not propose a new controlled value from this paper alone.
A004	V2-P012	MAJOR	Full article: Methods, “The instruments: the Pediatric Quality of Life version 4.0 Generic Core Scales,” first paragraph | Full article: Methods, “Cognitive interviews,” second paragraph | Full article: Results, “Participants,” second paragraph and Table 1 | Full article: Results, “Cross-cultural adaptation: linguistic and conceptual equivalence” | Full article: Results, “Known-groups validity,” narrative paragraph and Table 5 | Full article: Discussion, second through fourth paragraphs | Full article: Data availability	Keep the inclusion decision, explicit EuroQol support, publication form, one Study, primary family, purposes, three StudyParts, principal findings, products, and recorded source conflicts. Make these repairs: (1) Add separate InstrumentUse records for both Chichewa versions in part1 with context CURRENT_STUDY_OBJECT and function DEVELOPMENT_OBJECT. Keep the existing TRANSLATION_TARGET and CONTENT_TEST_OBJECT uses because they describe different roles. (2) Repair scu1 and scu2. Add an exact Product for “Scaling and Scoring of the Pediatric Quality of Life Inventory™ PedsQL™” with product type SCORING_ALGORITHM, and link both ScoringUse records to it. Also add the applied scoring procedure as a MethodUse with function MAPPING_OR_DERIVATION: do not calculate a score when less than 50% of the relevant items are complete; when at least 50% are complete, replace missing items with the mean of completed items; reverse and transform items to 0–100; average the answered items; and state that higher scores mean better HRQoL. The current null product links and source title alone do not represent this central scoring method. (3) Remove StakeholderInvolvement si2. The translators and first author performed the translation procedure as study personnel. The source does not report a separate stakeholder activity or influence. Keep si1 because participant suggestions changed and rechecked the adapted wording. (4) Change sf1 from “Age group” to “PedsQL self-report version or analysis group,” with levels “child self-report” and “teen self-report.” Add the Table 1 cross-tabulation to sam3 and sam4 or to a new finding: the child-version group included 85 participants aged 8–12, 8 aged 13–17, and 5 with missing age; the teen-version group included 11 aged 8–12, 177 aged 13–17, and 3 with missing age. Add a SourceConflict between the Methods statement that analyses were separated into child ages 8–12 and teen ages 13–17 and these observed cross-version age counts in Table 1. (5) Add a source-reported limitation for part1: the cognitive interviews identified concepts understood differently, but they did not identify aspects of health relevant in Chichewa that were absent from the instrument. Link this to the content-validity outcome. (6) Add the principal interpretations that missing data and adjacent-endorsement failures can indicate poorly targeted item content or unsuitable response options, and that the grade findings can indicate a minimum education or reading level is needed for self-completion. Link these interpretations to f4 and f9. (7) Add a SourceConflict for the child known-groups effect-size classification. The narrative calls all child effect sizes “small,” but Table 5 reports 0.12, 0.12, 0.15, 0.19, 0.20, and 0.32 while the stated criterion defines values below 0.2 as poor and 0.3–0.49 as small. Keep the exact values without silently adopting the narrative classification. (8) Add the generated study dataset as a Product of type DATASET. Record, without using an unsupported product-state axis, that it is not publicly available because participant consent for public release was not obtained, but it is available from the corresponding author on reasonable request.	
A005	V2-P013	MINOR	Methods—Data collection, paragraphs 1 and 3–5 | Methods—Data collection, paragraph beginning “Interviews were audio-recorded” | Results—Participant recruitment and contextual information about participants, first paragraph | Results—Use and interpretation of the recall period in retrieval, paragraphs introducing Strategies 1 and 2	Correct the local administration and TaskDesign fields. In a1 and a2, do not state that participants used a hard-copy questionnaire: the article only states that a hard copy was supplied in advance to prevent possible screen-sharing problems. Record the interview channel as online Zoom and state that the actual questionnaire-display channel was not reported. In td1, set duration to null because 49–69 minutes is the duration of the full interview, not the questionnaire task. Set block to null because “EQ-HWB-9 plus three additional positively-worded items” describes task content, not a reported block. Set stopping_rule to null because information power was the recruitment stopping criterion, not a respondent-task stopping rule; retain it under mu5. In f1, remove the aggregate value of “2 retrieval strategies” with denominator “19 carers”: two is the number of analytic strategy categories, not a participant count with that denominator. Keep the source-faithful narrative finding.	
A006	V2-P014	MINOR	Full article — Materials and methods > Risk-of-bias (quality) assessment | Extraction record — ProtocolUse pr2 and pr3; no corresponding MethodUse for the appraisal activity | Full article — Results > Study selection, first paragraph and Figure 1 | Extraction record — Sample sa2 and Gap g1	Add a MethodUse for the independent two-reviewer risk-of-bias assessment, including resolution by discussion or consultation with a third researcher. Set context to DIRECT_CURRENT_ACTIVITY and function to QUALITY_CONTROL. Cite the Newcastle-Ottawa Scale uses pr2 and pr3 as the appraisal protocols. Keep Sample sa2 and Gap g1 unchanged.	The source gives an important count of 1,905 deduplicated records that underwent title-and-abstract screening. The sample-stage vocabulary has no exact value for this stage. Sample sa2 and Gap g1 correctly record this ontology gap.
A007	V2-P015	MINOR	Full article, §2.3 Health Status/HRQoL Assessment, paragraph 2 | Full article, §2.4 Statistical Analysis, paragraph 2 | Full article, Table 2, EQ-5D-5L VAS score rows | Full article, Appendix Table A1, EQ-5D-5L VAS score rows	Add a SourceConflict for the EQ VAS direction. Preserve the §2.3 statement that 0 is the best imaginable health and 100 is the worst imaginable health. Also preserve the conflicting analysis convention in §2.4, where a negative EQ-5D-5L change indicates health decline. Table 2 and Appendix Table A1 use that convention for the EQ VAS results. Link the conflict to the EQ-5D-5L instrument use. Do not silently correct either statement. No other material repair is needed.	
A008	V2-P016	MINOR	Full article — Methods: Sampling and Data Collection, paragraphs 1–3: each national study had a target of 200 cTTO interviews; Spain stopped face-to-face collection at 123 and Belgium at 121 | Full article — Results: Descriptive Statistics, paragraph 1: Belgium conducted and analyzed 218 interviews; Spain analyzed 184 after exclusion of 16 interviews | Full article — Table 1, column headers: subgroup counts refer to respondents, with one interview per respondent	Keep the assessment, Study unit, family, methods, findings, and interpretations. Add PLANNED_TARGET Sample records of 200 respondents for each country. Add a Spain COMPLETED Sample of 200 respondents and a Belgium COMPLETED Sample of 218 respondents. Keep the existing ANALYZED and EXCLUDED stages. In sm1–sm9, replace the ambiguous counting unit “respondents/interviews” with one exact unit, such as “respondents (one completed interview each).”	
A009	V2-P017	MINOR	Full article: Methods > Measures, paragraph 1 | Full article: Discussion, paragraph beginning “Earlier studies investigated the test–retest reliability” | Full article: Strengths and limitations, paragraph 1	Correct Administration a2–a4. The recall task asked patients to remember their earlier reported EQ-5D-3L and EQ-VAS responses. It did not ask them to reassess their past health over an interval. Change each perspective to the remembered response at T1 or T2. Change each recall_period to the target time point and state the elapsed recall interval separately: T1 recalled at T2, T1 recalled at T3, and T2 recalled at T3. Set assistance to null because the target-time-point statement was a task instruction, not completion assistance. Preserve that instruction by adding a DIRECT_CURRENT_ACTIVITY quantitative-data-collection MethodUse for the recall prompt, or by adding it to the existing task description. Also add a Limitation stating that test–retest reliability of EQ-5D-3L had not been studied in trauma patients, so the authors could not compare the observed correspondence with instrument accuracy in this population. Keep the existing family, Study unit, findings, and source conflicts.	
A010	V2-P018	MINOR	Full article: Methods—Study design, paragraphs stating that Phase 1 used interviews and that only steps 1–3 of the co-design framework informed Phase 1; later steps informed Phase 2 | Full article: Methods—Data collection, paragraphs stating that participants were shown the EQ-5D-Y-5L and that scoring approaches were discussed during interviews | Full article: Methods—Data analysis, paragraph describing the three double-coding rounds, assessment of thematic saturation, and the decision to stop interviews when no new codes emerged | Full article: Results—RQ2, Usefulness of EQ-5D-Y-5L and individual items, Relevance of overall instrument and Extra item | Full article: Results—Participant characteristics, first paragraph	Keep the inclusion decision, EuroQol support, publication form, single Study, APPLIED_USE_RESEARCH family, purposes, design axes, populations, principal methods, instrument functions, findings, interpretations, and limitations. Make these local repairs: (1) Remove StakeholderInvolvement sti1. The adolescents, caregivers, and providers were interview participants whose data informed later co-design; they did not jointly create, refine, or select an output in Phase 1. (2) In Administration adm1, limit applies_to to mu1. The article states that participants were shown the EQ-5D-Y-5L and discussed scoring approaches; it does not state that they completed the instrument or that the scoring methods were administered. Keep iu1–iu3 and mu9–mu10 as CURRENT_STUDY_OBJECT uses without this interview-administration link. (3) Add the reported thematic-saturation assessment as a DIRECT_CURRENT_ACTIVITY MethodUse with function QUALITY_CONTROL, or expand mu7 to state that the researchers tracked new codes and themes across three rounds, found no new codes by round three, and stopped further interviews. (4) Revise f6 to avoid assigning all proposed extra content to caregivers and adolescents. State separately that several caregiver and adolescent participants wanted a way to add context, and that participants proposed treatment burden, social relationships, eating, sleeping, toileting, and schooling as possible additional content. (5) Retain sam1 as UNMAPPED_VALUE if the recruitment-flow count is retained, but revise gap1 proposed_resolution so it does not request a paper-specific controlled value. State that the eligible expressions-of-interest count has no exact current stage and should remain unmapped unless repeated corpus evidence supports vocabulary review.	
