record_id,title,production_batch,production_outcome,production_code,production_reason,audit_batch,audit_outcome,audit_code,audit_reason,outcome_agreement
Pecf17c687687,Rural-Urban Differences in Non-Local Primary Care Utilization among People with Osteoarthritis: The Role of Area-Level Factors.,batch-0273,exclude,E4,"[E4] This is a spatial analysis of primary-care utilisation among people with osteoarthritis, not measurement or valuation research.",batch-0001,exclude,E4,[E4] The study explains geographic differences in primary care use for service planning and does not study health measurement or valuation.,true
Pefe012857ece,Lessons learned from the application of the HEcoPerMed guidance to three modeling case studies.,batch-0206,exclude,E2,[E2] This paper applies guidance to health-economic models of personalized interventions rather than studying measurement or valuation.,batch-0001,exclude,E4,[E4] The paper tests guidance for personalized-medicine economic models and does not study health measurement or health-state valuation.,true
P710cc558ee3d,"Invasive‐plant traits, native‐plant traits, and their divergences as invasion factors",batch-0116,exclude,E4,[E4] This common-garden experiment studies plant traits and invasive-species competition.,batch-0001,exclude,E4,[E4] The common-garden study concerns invasive and native plant traits and is unrelated to health measurement or valuation.,true
P0341e97c1654,Protocol for a randomised clinical trial of multimodal postconcussion symptom treatment and recovery: the Concussion Essentials study,batch-0278,exclude,E4,"[E4] This protocol evaluates a clinical concussion-treatment intervention, with quality of life only a secondary outcome.",batch-0001,exclude,E1,[E1] Quality of life is only a secondary outcome in a protocol that tests multimodal treatment for postconcussion symptoms.,true
P36b7c6aa1f68,Surgeon preference for treatment allocation in older people facing major gastrointestinal surgery: an application of the discrete choice experiment methodology,batch-0224,exclude,E3,[E3] Discrete choice experiment elicits surgeons' preferences for surgery versus conservative management.,batch-0001,exclude,E3,"[E3] The discrete-choice task elicits surgeons' preferences for surgery versus conservative treatment, not health-state values.",true
P3d924237bc9a,Cost-Effectiveness Analysis of SAPIEN 3 Transcatheter Aortic Valve Implantation Procedure Compared With Surgery in Patients With Severe Aortic Stenosis at Low Risk of Surgical Mortality in France,batch-0292,exclude,E2,[E2] This cost-utility model uses QALYs as results when comparing valve-intervention strategies.,batch-0001,exclude,E2,[E2] The cost-utility model uses health-related quality of life and QALYs only to compare TAVI with surgery.,true
P6268eed3ad97,Patient preferences for treatment in steroid resistant ulcerative colitis - a discrete-choice experiment.,batch-0236,exclude,E3,[E3] The discrete-choice experiment elicits patients' preferences for ulcerative-colitis treatment attributes rather than valuing health states.,batch-0001,exclude,E3,[E3] The discrete-choice experiment elicits patient preferences for ulcerative-colitis treatment attributes.,true
Pd92df6e63616,Development Process of a Clinical Decision Support System for Empiric Antibiotic Therapies in Patients With Sepsis: Case Study.,batch-0021,exclude,E4,"[E4] This feasibility study develops a clinical decision-support model for empiric sepsis antibiotics, outside measurement and valuation.",batch-0001,exclude,E4,"[E4] The study develops prediction models for empiric antibiotic selection in sepsis, not a health measure or valuation method.",true
P89369eea67bd,Cost analysis of intrauterine balloon tamponade versus uterine artery embolization in the management of persistent postpartum hemorrhage,batch-0061,exclude,E4,[E4] The study compares treatment-management costs for persistent postpartum haemorrhage.,batch-0001,exclude,E4,[E4] The study compares the costs of two postpartum-hemorrhage treatment pathways and has no health measurement or valuation aim.,true
Pde0b680a6a59,What is the relationship between health-related quality of life among scoliosis patients and their caregiver burden? A cross-sectional study in China,batch-0203,exclude,E1,[E1] EQ-5D-5L and other HRQoL measures are outcomes in a study of scoliosis patient and caregiver burden.,batch-0001,exclude,E1,"[E1] EQ-5D-5L, CHU9D, and wellbeing scores are outcomes used to explain scoliosis caregiver burden.",true
Pd91927ef1914,Cost-effectiveness analysis of lifestyle interventions for preventing kidney disease in patients with type 2 diabetes,batch-0202,exclude,E2,[E2] This Markov cost-effectiveness analysis uses QALYs as results to assess a diabetes lifestyle intervention.,batch-0001,exclude,E2,[E2] QALYs are outputs in a cost-effectiveness model of lifestyle interventions for kidney-disease prevention.,true
Pfa5c33517852,Identifying indicators of “success” in managing the COVID-19 pandemic in Europe: insights from an interdisciplinary expert consultation,batch-0089,exclude,E4,[E4] This expert consultation prioritises pandemic-management indicators rather than developing or evaluating a health or wellbeing measure.,batch-0001,exclude,E4,"[E4] The study develops policy indicators for successful pandemic management, not a health or wellbeing measurement method.",true
P9d6e991b8600,A Theoretically Informed Process Evaluation in Parallel to a Feasibility Study of a Complex Oral Health Intervention Using NICE Guidelines in a Care Home Setting.,batch-0066,exclude,E4,"[E4] This is a process evaluation of implementing an oral-health intervention in care homes, not measurement or valuation research.",batch-0001,exclude,E4,[E4] The process evaluation studies implementation of an oral-health intervention and its explanatory framework.,true
P91f1bbd286c9,"The correlates and experiences of HIV-related intersectional stigma among caregivers of adolescents living with HIV during COVID-19 in KwaZulu-Natal, South Africa: Results from a mixed method study.",batch-0015,exclude,E4,"[E4] This study examines correlates and experiences of HIV-related stigma among caregivers, not health measurement or valuation.",batch-0001,exclude,E1,[E1] Mental health and wellbeing measures are outcomes used to study HIV-related intersectional stigma and caregiver burden.,true
P1ed293c242c7,Exploring important service characteristics of telephone cancer information and support services for callers: protocol for a systematic review of qualitative research.,batch-0098,exclude,E4,"[E4] This review protocol concerns caller-preferred cancer information service features, not measurement or valuation research.",batch-0001,exclude,E4,"[E4] The protocol concerns caller-valued characteristics of a cancer information service, not health measurement or valuation.",true
Paa0180e69d60,"Inequality in green space distribution and its association with preventable deaths across urban neighbourhoods in the UK, stratified by Index of Multiple Deprivation",batch-0130,exclude,E4,"[E4] This ecological study evaluates green-space inequality and preventable mortality, not a health measurement or valuation method.",batch-0001,exclude,E4,[E4] The ecological study links green-space distribution to preventable deaths and does not study health measurement or valuation.,true
P40eca2d6a982,Perinatal Outcomes After RSV Vaccination During Pregnancy—Addressing Emerging Concerns,batch-0106,exclude,E5,"[E5] The supplied abstract field contains only an author list, not a usable abstract.",batch-0001,exclude,E5,[E5] The abstract field contains only an author list and is not a usable article abstract.,true
Pcdd6a95206cc,Mental health literacy on postpartum depression among university staff in Nigeria,batch-0077,exclude,E4,"[E4] This survey assesses university staff literacy and help-seeking regarding postpartum depression, not health measurement or valuation.",batch-0001,exclude,E4,[E4] The survey assesses public literacy about postpartum depression rather than developing or evaluating a health measure.,true
