batch_id	record_id	verdict	source_locations	repair	ontology_gap
A001	V2-P008	MINOR	Full article, Methods—Psychometric analyses, paragraph on division into child and adolescent age groups | Full article, Methods—Discriminant validity, paragraphs on Pearson correlations with age | Full article, Results—Discriminant validity, text and Table 5 | Full article, Methods—Utility score performance (empirical validity), paragraph stating that dichotomization cutoffs were arbitrary and could change conclusions | Full article, Results—Empirical validity, first paragraph and Table 6 | Full article, Methods—General performance and feasibility, definition of floor effects as 33333/55555 | Full article, Results—General instrument performance and feasibility, Table 3, row labeled “Floor effect (11111)”	Keep sf2 as the categorical age-group STRATIFIER. Add a separate StudyFactor for continuous age, with role EXPOSURE_OR_DETERMINANT and the reported range of 8–17 years; link the age-correlation component of f6 to this new factor so that age is not conflated with the analysis strata. Add a Limitation stating that the self-rated-health and PedsQL dichotomization cutoffs used for empirical-validity analyses were arbitrary and could change the conclusions; cite Methods—Utility score performance and connect it to o1, mu12, and f8/f9. Add a SourceConflict for the empirical-validity range: the prose reports that EQ-5D-Y-5L was 31–91% less efficient for self-rated general health, but Table 6 includes RE=0.060, which corresponds to 94% less efficiency. Keep f8 source-faithful to the prose and preserve the table value in the conflict. Also add a SourceConflict noting that Methods define the floor state as 33333/55555, while Table 3 labels its floor-effect row as 11111; do not silently correct the article.	
A002	V2-P009	MINOR	Methods, opening paragraph and Socioeconomic variables | Methods, Statistical methods and Cases of vision impairment | Methods, Classification of economic impact, Table 1 | Methods, Definition and estimation of intangible effects; Sensitivity analysis; Conversion of unit costs | Results, opening paragraph; Total economic cost of vision impairment and eye care, Table 2 | Discussion, limitations paragraph; assumptions paragraph	Keep the inclusion decision, publication form, one-Study structure, primary family, purposes, and principal findings. Split du1 by collection role. Record the socioeconomic questionnaire that was adapted and administered for this investigation as CURRENT_STUDY_COLLECTION, with iu1 and its applicable Epi Info use in DIRECT_CURRENT_ACTIVITY. Keep reused NESTT medical, ophthalmic, low-vision, visual-acuity, and prevalence data as PRIOR_RESEARCH_COLLECTION and keep their instrument or method uses in SOURCE_STUDY_ACTIVITY. Keep the contemporaneous eye-care-system survey as a separate prior-research source. Split du4, du5, and du6 because each DataUse must identify one source: separate the 2011 Census, 2014 mid-year population estimates, selected WHO disability weights, alternative disability-weight sources, income and wage statistics, value-of-statistical-life input, GDP deflator, exchange rate, and external unit-cost sources. Add the reported 450 outpatients who supplied travel-cost data as a distinct population and COMPLETED sample linked to the eye-care-system source; also represent the three private companies that supplied ophthalmic-drug prices as a separate unit-cost source. Replace the study-wide Stata sw2 with part-scoped uses for part1 survey analysis and part3 burden or sensitivity calculations. Add an Administration for the standardized visual-acuity measurement, with the assessor measurement and outside-household setting reported by the source. Add the limitation that individual income was not collected, which prevented direct estimation of income loss by vision category. Add the reported assumptions that market wages approximate the opportunity cost of the employment gap and that private-sector prices, including profit, approximate societal opportunity costs.	
A003	V2-P010	MAJOR	Full article, Background, paragraphs 1–2: ABJHI routinely collected historical EQ-5D-5L dimension-level data and used it for individualized pre-surgery and one-year post-surgery comparisons. | Full article, Methods, prototype-development paragraph; Table 1; Figures 2–3: the tested prototypes contain pre-surgery distributions and changes from before surgery to one year after surgery. | Full article, Abstract, Background final paragraph, Discussion, and Conclusions: implementation and full decision-aid usability testing were future activities, not activities evaluated in this study. | Full article, Methods, participant-procedures paragraph: the clinic pilot used 10 patients, but the source does not identify the pilot material as qualitative only. | VOCABULARY.tsv, design/component_approach: NOT_REPORTED is not an allowed component_approach value.	Add the omitted central input data. Create separate part-scoped DataUse records for the historical ABJHI EQ-5D-5L pre-surgery data and one-year post-surgery data used in Parts 1 and 2. Use origin ROUTINE_SERVICE_COLLECTION and level AGGREGATE_ESTIMATE; state that these data supplied the displayed distributions and change patterns. Delete purpose pur2, IMPLEMENTATION_EVALUATION. The study refined decision-support visualizations before implementation; it did not evaluate implementation. Repair part0: remove the invalid component_approach value NOT_REPORTED. If part0 remains a substantive part, code its supported empirical approaches from the piloted closed- and open-ended checklist process, or record the missing component through a NOT_REPORTED Gap instead of an invalid Design value. Revise du1 so that it does not claim QUALITATIVE_MATERIAL or a specific patient-feedback data source that the article does not report; use a source-faithful label for the clinic pilot and level NOT_REPORTED unless more exact evidence is available.	
A004	V2-P011	MAJOR	Full article, METHODS, Statistical Analysis, paragraphs 2–3: separate THA and TKA mixed-effects logistic regression models, fixed effects, hospital random intercept, and assessment of a patient random intercept | Full article, METHODS, Statistical Analysis, paragraph beginning “For our second research question”: adjusted mixed-effects logistic regression models for the three secondary outcomes | Full article, Table 2: primary mixed-effects logistic regression models of PNB utilization | Full article, Table 4: mixed-effects logistic regression models of PNB use and secondary outcomes | Full article, DISCUSSION, Strengths and Limitations, sentence beginning “At the hospital level, separating ambulatory surgical centers...”	Replace `mu1` as the representation of the regression model itself. Create part-scoped `ModelUse` items for the separately fitted THA and TKA mixed-effects logistic regression models. Use context `DIRECT_CURRENT_ACTIVITY`, function `STATISTICAL_ESTIMATION`, and analytic role `PRIMARY_REPORTED`; preserve the hospital random intercept, the stated fixed adjustment variables, and the separate PNB-utilization and secondary-outcome applications in the source-faithful labels or descriptions. Represent the tested three-level hospital-and-patient model as a `CANDIDATE` ModelUse and the state-county random-intercept models as `SENSITIVITY` ModelUses. Keep PAR, complete-case analysis, and the chi-square test as MethodUse items. Also add the omitted source-reported limitation that failure to separate ambulatory surgical centers owned by or affiliated with teaching hospitals limited interpretation of the resident-to-bed-ratio effect.	
A005	V2-P012	MAJOR	Methods > The instruments, paragraphs 1–2 | Methods > Translation process | Methods > Cognitive interviews, paragraphs 1–4 | Methods > Participants and recruitment process, paragraphs 1–2 | Methods > Psychometric analyses, opening paragraph | Methods > Validity > Convergent validity | Results > Participants, Table 1 | Results > Validity > Discriminant validity, Table 3 | Discussion, paragraphs 2–3	Retain the inclusion decision, EuroQol support, publication form, one-Study structure, primary family, purposes, and reported status. Repair the record as follows. (1) Record the important age/version mismatch in Table 1: 11 participants aged 8–12 completed the teen self-report, and 8 participants aged 13–17 completed the child self-report; age was missing for 5 child-version and 3 teen-version completers. Add exact COMPLETED subgroup Samples or equivalent sample details. Add a SourceConflict that preserves the stated child 8–12 and teen 13–17/18 age-version descriptions from Methods and the observed cross-version counts in Table 1. This fact affects which populations were used to validate each version. (2) Add separate part1 InstrumentUse records for both Chichewa versions as CONTENT_TEST_OBJECT and DEVELOPMENT_OBJECT. Cognitive interviews tested item understanding, and participant suggestions led to iterative wording revision; TRANSLATION_TARGET alone does not represent these main roles. Update outcome o1 and relevant findings to link these uses. (3) Replace combined iu7 with two exact InstrumentUse records: the Chichewa (Malawi) PedsQL 4.0 GCS child self-report and teen self-report, each used as a MEASUREMENT_PROPERTY_TEST_OBJECT in part3. Update o3 to link both exact variants plus the two EQ-5D-Y comparators. (4) Add SAMPLING MethodUse records for the convenience sample from one primary school in part1 and the convenience sample from five schools and the Queen Elizabeth Central Hospital outpatient department in part2. (5) Set recall_period to null or not reported in a1, a3, and a4. The article does not report “past one month”; this value was imported from outside the supplied source. (6) Extend f6 or add a finding for the stated gender exception: the child-version Social Functioning score differed by gender (mean difference 11.23, t=2.761, p=0.007), although the other gender results generally supported discriminant validity. (7) Add the source-reported content-scope limitation or interpretation that cognitive interviews did not identify aspects of health relevant in Chichewa that were absent from the instrument, and that further qualitative investigation of item appropriateness and completeness was needed.	The existing gap1 is valid. Forward translation and back translation are central current-study methods, but MethodUse.function has no controlled translation or cultural-adaptation function. Keep the exact method labels and UNMAPPED_VALUE gap until a reviewed general mapping is available.
A006	V2-P013	MINOR	Introduction, final paragraph | Methods > Participants, paragraphs 1–2 | Methods > Data collection, paragraphs 1–4 and final paragraph | Methods > Analysis, final paragraph | Results > Use and interpretation of the recall period > Strategy 2 | Results > Proxy perspective and its implications | Conclusions	Keep the inclusion decision, EuroQol support, publication form, single Study, primary family, design axes, principal results, interpretations, and limitations. Make these local corrections: (1) Delete Purpose p2 (`METHOD_OR_PROTOCOL_QUALITY`). The stated aims concern recall-period interpretation and proxy perspective-taking as content-validity or response-process questions. The authors do not state a separate evaluation of a method or protocol. Keep p1 as rank 1. (2) Revise pop1 to resolve the source inconsistency: the title and abstract call the participants informal carers, but the eligibility criteria permitted paid or unpaid carers. Use a neutral label such as “adult current carers of people living with dementia” and preserve “paid or unpaid” in the inclusion description. Do not assert that all final participants were informal unless participant-level evidence confirms this. Remove Australia from pop2 because the source specifies the carers’ residence, not the care recipients’ residence. (3) Revise iu2 so that the instrument identity is the source instrument, `EQ-HWB`, with a note that the study used three positively worded items: feeling accepted by others, feeling good about themselves, and doing the things they wanted to do. Do not treat this item bundle as a separate registry instrument. Keep `registry_id` empty pending exact variant review. (4) Correct td1. The article does not report that the EQ-HWB-9 always preceded the three additional items or that all 12 items had a fixed sequential order. It only states that carers completed these items with think-aloud and prompts, and that the proxy-perspective question followed questionnaire completion. Remove the invented block and order details. Also restrict the statement about five response options to the nine EQ-HWB-9 items because the article does not specify the response-option count for the three additional items. (5) Remove pu1 as a `GOVERNING_STUDY_PROTOCOL`. The study-specific topic guide is reported as an interview guide, not as the protocol that governed the whole study. Retain it as evidence for the cognitive-interview method and interviewer assistance. (6) Add a REDCap SoftwareUse with function `DATA_COLLECTION`, or replace the current sole function, because REDCap directly collected participants’ contact information. A separate `DATA_MANAGEMENT` use can remain if its storage role is also represented. (7) Qualify f5. All carers compared recent behavior with earlier behavior, but the source does not say that all carers also used personality traits, idiosyncrasies, and mannerisms. Separate these statements or change the second claim to “carers also referred to.”	
A007	V2-P014	MINOR	Full article, Introduction, final paragraph | Full article, Materials and methods, Study design; statement that protocol registration was not undertaken | Full article, Materials and methods, Risk-of-bias (quality) assessment | Full article, Results, Health-related quality of life evaluation methods | Full article, Results, EQ-5D index scores, EQ-VAS scores, and EQ-5D profiles; Table 2 | Full article, Discussion, final two paragraphs before Conclusion | Full article, Data availability	"Keep the inclusion decision, EuroQol support, publication form, single Study, primary family, status, and current Study structure. Add OUTCOME_DESCRIPTION as a rank-2 purpose because the stated aims include pooled HRQoL values, affected dimensions, subgroup differences, and predictors. Add a QUALITY_CONTROL MethodUse for the independent risk-of-bias assessments by two reviewers and resolution by discussion or a third researcher. In f3, replace each denominator of ""104 studies"" with ""participants represented in 104 contributing studies; exact participant denominator not reported"" because 51%, 46%, 42%, 37%, and 21% are pooled participant prevalences, not percentages of studies. Extend f10 with the reported source-study administration results: face-to-face interview, 44 studies (23.5%), and digital administration, 43 studies (23%); also add the UK value set, 20 studies, and the US value set, 12 studies. Add a source-reported Gap for missing evidence on vaccination status, testing and early diagnosis, treatment adherence, hospitalization, and ICU admission, together with the stated need for longitudinal studies. Add a DATASET Product for the datasets used or analyzed in the review and record that they are available from the corresponding author on reasonable request. Record the explicit statement that the review protocol was not registered through an UNMODELED_ASPECT Gap until the ontology supports protocol-registration status."	"The ontology has ProtocolUse but no field or relation for an explicit negative protocol-registration status. The important source fact ""Protocol registration was not undertaken"" cannot be represented directly."
A008	V2-P015	MINOR	Full article, Section 2.4, first paragraph | Full article, Section 4.2 | Full article, Section 2.3, second paragraph | Full article, Section 2.4, second paragraph | Full article, Appendix A, cancers-16-01952-t0A2_Table A2 | Full article, Table 2, cancers-16-01952-t002_Table 2 | Extraction record, SourceConflict conf1	Delete SourceConflict conf1. Appendix Table A2 occurs once; the later full-cohort table is Table 2 with the distinct identifier cancers-16-01952-t002. Add MethodUse records for the Kolmogorov–Smirnov test and Shapiro–Wilk test, each with DIRECT_CURRENT_ACTIVITY and QUANTITATIVE_ANALYSIS. Add the Section 4.2 interpretation that different or additional assessment times and breast-cancer-specific PROMs may improve detection and interpretation of change. Add a SourceConflict for the EQ VAS direction: Section 2.3 states that 0 is best and 100 is worst, while Section 2.4 states that negative EQ-5D-5L changes indicate decline, which implies the opposite direction for the EQ VAS.	
A009	V2-P016	MINOR	Methods > Sampling and Data Collection, paragraphs 3–4 | Methods > Metrics Definition, final paragraph | Methods > Composite Time Trade-Off Interview Structure, items 3 and 5–8 and final paragraph | Results > Descriptive Statistics, paragraph 1 and Table 1 | Results > Interviewer Engagement, Table 2	Keep the inclusion decision, Study unit, METHODS_RESEARCH family, purpose, country StudyParts, design axes, respondent samples, principal findings, and limitations. Add the interviewers as analyzed populations because interviewer engagement and respondent engagement at the interviewer aggregate level are central analyses. For Spain, record four participating interviewers, one excluded from this analysis because that interviewer conducted only videoconference interviews, and three analyzed interviewers. For Belgium, record three analyzed interviewers who conducted both modes. Add a SoftwareUse for EuroQol Valuation Technology with function VALUATION_ADMINISTRATION because EQ-VT electronically implemented the cTTO tasks and the interviewers operated it; retain the existing DATA_COLLECTION and DATA_MANAGEMENT uses only for their separately supported functions. Add administration provenance for the self-reported EQ-5D-Y-3L warm-up use, limited to facts explicitly reported by the source. Remove the invented stopping-rule text from TaskDesign td1 or set it to null because the article does not give a stopping or indifference rule for the adaptive wheelchair demonstrations. Clarify Finding f4 as applying both before and after the feedback module, or retain the selected before-FBM aggregates but state that scope directly.	
A010	V2-P017	MINOR	Full article, Methods > Measures, paragraph beginning “Participants were asked to complete” | Full article, Methods > Statistical analysis, first paragraph | Full article, Results > Participants, first two paragraphs and Table 1 | Full article, Discussion, paragraphs beginning “Also, the time interval” and “Different subgroups” | Full article, Conclusion	Add separate MethodUse records for the chi-square tests and Mann–Whitney U tests used in the non-response analysis, with function QUANTITATIVE_ANALYSIS. Revise adm2–adm4 and the TaskDesign wording to state the exact recall instruction: participants reported what they remembered reporting on the EQ-5D-3L at the earlier assessment; do not describe this only as a fresh assessment of recalled health. In f5, replace the textual denominators with the reported subgroup counts: 29 participants for ISS ≥ 16 and 171 participants for middle-level education. Add an Interpretation linked to the correspondence and subgroup findings that both elapsed recall time and the post-injury phase influenced correspondence, and that major injury and education level also influenced recall correspondence.	
