order	paper_id	format	article_path	article_sha256	bytes
1	10.1371/journal.pone.0302886	xml	corpus/348-PHD/doi_10.1371_journal.pone.0302886.md	9420b24805f77c45e43b06a4d79dde1108b29b495b94d16550687f99631dcbb5	188611
2	10.1186/s12955-023-02115-z	xml	corpus/2016480/doi_10.1186_s12955-023-02115-z.md	7af13a637ee2fdaaa6015f33bf75811e8838652bb8eec73539e501c32d572762	110575
3	10.1007/s11136-020-02712-1	xml	corpus/2016470/doi_10.1007_s11136-020-02712-1.md	4f1a49da1d95d6c19834368504c32de36b541e51310ed101e8616eaf45d850c7	66890
4	10.1186/s12955-022-01996-w	xml	corpus/20180140/doi_10.1186_s12955-022-01996-w.md	c9dffe6ec38add6ccc58bd6db7acdfa367a47db3c9b57783046d620661f520fb	61492
5	10.1186/s12955-024-02290-7	xml	corpus/364-RA/doi_10.1186_s12955-024-02290-7.md	9ee7dfff9c287e3c6dd4abab83be9d2f3d32ca4212aa8fae20b4b93c39a717f0	52978
6	10.1007/s10198-025-01769-4	xml	corpus/1508-RA/doi_10.1007_s10198-025-01769-4.md	5aeb8d6b2307857d7cfd092368a992685d86ab149249d8db3b4d03dc4468c324	78866
7	10.1136/bmjopen-2025-100897	xml	corpus/1850-RA/doi_10.1136_bmjopen-2025-100897.md	f83ed58dfff092519efdabb2f3834c61508af16a0b7b7a77e0ef08e51413eed1	42479
8	10.1007/s40258-025-00954-z	xml	corpus/1767-RA/doi_10.1007_s40258-025-00954-z.md	de0405964ea0d43d90d3fa0acc825ce046c65bff84aef08a44942b8040365452	68428
9	10.1177/0272989x251380556	xml	corpus/399-RA/doi_10.1177_0272989x251380556.md	91d4c02e7b1d5b43b84e82c49838fbe2ba6ba78ac4449304a1a9504b078b3ae4	59876
10	10.1007/s11136-025-03996-x	xml	corpus/330-PHD/doi_10.1007_s11136-025-03996-x.md	5e7dd427dd3e9ecb19ee3957b0623b7b932aa6d983274de82d67e97340ed5464	69560
