order	paper_id	format	article_path	article_sha256	bytes
1	10.1007/s40258-021-00639-3	xml	corpus/20170400/doi_10.1007_s40258-021-00639-3.md	0d6462427e64575f7139aaf3e362a742b2aa7c66106ad5f1261e2e2f5cb6c25f	77402
2	10.1007/s11136-020-02688-y	xml	corpus/2016170/doi_10.1007_s11136-020-02688-y.md	5d7c04ab1bf4b1d87968b8d8cc575c55820c8c1ea3019acf189a876b1f32bb96	121988
3	10.1007/s11136-025-03983-2	xml	corpus/367-RA/doi_10.1007_s11136-025-03983-2.md	afc648a5368fb945d630b3b9a8cae8a92a9f18b8b489be05f308847bd549dc77	73694
4	10.1017/s0266462326103602	xml	corpus/1505-RA/doi_10.1017_s0266462326103602.md	4f26cab992adb34e099c71814ee81c54b02de2bffc8ad03c5f824627b93901be	101826
5	10.1007/s11136-019-02115-x	xml	corpus/2014160/doi_10.1007_s11136-019-02115-x.md	04548203cbc5d71bba6264c57524d711ef2883c370edc52006135a39e0eab645	69271
6	10.1007/s40273-022-01216-9	xml	corpus/20191020/doi_10.1007_s40273-022-01216-9.md	e86e0424c494875ca381b346f7b1e754e10b3f9912e8bef933efd9c625749b1d	55701
7	10.1007/s11136-025-04003-z	xml	corpus/1811-RA/doi_10.1007_s11136-025-04003-z.md	b94ca45ec043a5b7b81d28380e4d24256b09bb60f846c3a8b8ac80a0090ee5a8	58977
8	10.1007/s11136-025-04038-2	xml	corpus/1485-RA/doi_10.1007_s11136-025-04038-2.md	168d53aed9f5436771a17e2560de98f312835ceea2df0b76cf64f31f8de92608	76716
9	10.1016/j.jval.2025.02.001	pdf	corpus/345-PHD/doi_10.1016_j.jval.2025.02.001.md	45d9c8ae457cb963d4fb0be5882c72526e7fbcff050b234d29f5bbe94719f2ac	50386
10	10.1007/s10198-025-01770-x	xml	corpus/218-RA/doi_10.1007_s10198-025-01770-x.md	087da109d92a3fb7edf1c86e6a127a1b3c8251c03a41e3faaf64d4e43af7e7d9	173513
