project_id,project_title,principal_investigator,working_group,start_year,publication_id,doi,publication_title,publication_year,journal
194-RA,Assessing older people's health related quality of life in aged care settings: unravelling the EQ-5D self-report proxy conundrum.,Julie Ratcliffe,"Descriptive Systems, Populations and Health Systems",2021,doi:10.1186/s41687-024-00705-z,10.1186/s41687-024-00705-z,Examining interrater agreement between self-report and proxy-report responses for the quality of life-aged care consumers (QOL-ACC) instrument,2024,Journal of Patient-Reported Outcomes
1970-RA,Exploring dimension-specific components and aging (EDCA): a secondary data analysis,Minh Pham,Descriptive Systems,2025,doi:10.1007/s11136-025-04053-3,10.1007/s11136-025-04053-3,The psychometric performance of the EQ-5D-5L composite and component items in the U.S. General population and by age group,2025,Quality of Life Research
198-RA,Going beyond life expectancy– Examining health inequalities in quality adjusted life expectancy (QALE) in Australia,Lan Gao,Populations and Health Systems,2021,doi:10.1016/j.jval.2023.08.013,10.1016/j.jval.2023.08.013,An Intersectional Approach to Quantifying the Impact of Geographic Remoteness and Health Disparities on Quality-Adjusted Life Expectancy: Application to Australia,2023,Value in Health
1987-SG,Health-related quality of life among Ukrainian war refugees in Estonia: A comparative analysis with the general population using EQ-5D-3L,Rainer Reile,Populations and Health Systems,2025,doi:10.3389/ijph.2026.1608807,10.3389/ijph.2026.1608807,Health-Related Quality of Life Among Ukrainian War Refugees Compared to the General Population in Estonia,2026,International Journal of Public Health
200-RA,EQ-5D health inequalities in orthopaedic patients. A Dutch registry-based study.,Jan Verhaar,Populations and Health Systems,2021,doi:10.1016/j.joca.2023.07.004,10.1016/j.joca.2023.07.004,Socioeconomic inequalities in patient-reported outcome measures of Dutch primary hip and knee arthroplasty patients for osteoarthritis,2023,Osteoarthritis and Cartilage
2003-RA,Composite time trade-off valuations for EQ-5D-Y-3L: exploring perspective differences within respondents,Stevanus Pangestu,"Valuation, Youth",2025,doi:10.1007/s10198-025-01857-5,10.1007/s10198-025-01857-5,Child- versus adult-perspective composite time trade-off valuations for the EQ-5D-Y-3L: evidence from the Hungarian valuation study,2025,The European Journal of Health Economics
2012010,The EQ-5D-5L Valuation Study in China,Gordon Liu,Valuation,2012,doi:10.1007/s11136-015-1129-x,10.1007/s11136-015-1129-x,Is bad living better than good death? Impact of demographic and cultural factors on health state preference,2015,Quality of Life Research
2012010,The EQ-5D-5L Valuation Study in China,Gordon Liu,Valuation,2012,doi:10.1016/j.jval.2016.11.016,10.1016/j.jval.2016.11.016,Estimating an EQ-5D-5L Value Set for China,2017,Value in Health
2012010,The EQ-5D-5L Valuation Study in China,Gordon Liu,Valuation,2012,doi:10.1186/s12955-018-1036-2,10.1186/s12955-018-1036-2,EQ-5D-5L norms for the urban Chinese population in China,2018,Health and Quality of Life Outcomes
2012020,German tariff for EQ-5D-5L,Wolfgang Greiner,Valuation,2012,doi:10.1007/s40273-018-0615-8,10.1007/s40273-018-0615-8,German Value Set for the EQ-5D-5L,2018,Pharmacoeconomics
2012030,EQ-5D-5L valuation study in Hong Kong,Carlos Wong,Valuation,2012,doi:10.1007/s40271-017-0278-0,10.1007/s40271-017-0278-0,Assessing the Use of a Feedback Module to Model EQ-5D-5L Health States Values in Hong Kong,2017,The Patient
2012030,EQ-5D-5L valuation study in Hong Kong,Carlos Wong,Valuation,2012,doi:10.1016/j.jval.2019.02.014,10.1016/j.jval.2019.02.014,Normative Profile of Health-Related Quality of Life for Hong Kong General Population Using Preference-Based Instrument EQ-5D-5L,2019,Value in Health
2013010,States worse than Dead: Exposing the measurement properties of the Better than Dead preference method,Peep Stalmeier,Valuation,2013,doi:10.1007/s40273-014-0168-4,10.1007/s40273-014-0168-4,The Better than Dead Method: Feasibility and Interpretation of a Valuation Study,2014,PharmacoEconomics
2013020,A Korean valuation study for the EQ-5D-5L,Min-Joo Woo,Valuation,2013,doi:10.1007/s11136-015-1205-2,10.1007/s11136-015-1205-2,The EQ-5D-5L valuation study in Korea,2016,Quality of Life Research
2013040,An investigation of EQ-5D-5L values in the United Arab Emirates: a feasibility study,Nancy Devlin,Valuation,2013,doi:10.1016/j.vhri.2015.07.002,10.1016/j.vhri.2015.07.002,An Investigation of the Feasibility and Cultural Appropriateness of Stated Preference Methods to Generate Health State Values in the United Arab Emirates,2015,Value in Health Regional Issues
2013040,An investigation of EQ-5D-5L values in the United Arab Emirates: a feasibility study,Nancy Devlin,Valuation,2013,doi:10.1136/bmjopen-2017-016969,10.1136/bmjopen-2017-016969,The effect of religion on the perception of health states among adults in the United Arab Emirates: a qualitative study,2017,BMJ Open
2013060,"Testing feasibility, reliability and validity of the health-related quality of life instrument EQ-5D-Y in children and adolescents with asthma- a cross-sectional pilot study",Ann Charlotte Egmar,Youth,2013,doi:10.1111/apa.12863,10.1111/apa.12863,Measuring health-related quality of life with the EQ-5D-Y instrument in children and adolescents with asthma,2014,Acta Paediatrica
2013070,Deriving social values using the EQ-5D-5L in the general population of Uruguay.,Federico Augustovski,Valuation,2013,doi:10.1007/s11136-015-1086-4,10.1007/s11136-015-1086-4,An EQ-5D-5L value set based on Uruguayan population preferences,2015,Quality of Life Research
2013100,Preference Inversion in the EQ-5D-5L,Benjamin Craig,Valuation,2013,doi:10.1007/s11136-014-0897-z,10.1007/s11136-014-0897-z,Do health preferences contradict ordering of EQ-5D labels?,2014,Quality of Life Research
2013100,Preference Inversion in the EQ-5D-5L,Benjamin Craig,Valuation,2013,doi:10.1007/s11136-017-1591-8,10.1007/s11136-017-1591-8,Further evidence on EQ-5D-5L preference inversion: a Brazil/U.S. collaboration,2017,Quality of Life Research
2013130,"The Relationship between Time, Sequencing, and Precision: Considerations for Choice Experiments",Benjamin Craig,Valuation,2013,doi:10.1016/j.jval.2014.11.005,10.1016/j.jval.2014.11.005,Learning and Satisficing: An Analysis of Sequence Effects in Health Valuation,2015,Value in Health
2013140,A Japanese valuation study for the EQ-5D-5L,Shunya Ikeda,Valuation,2013,doi:10.1007/s11136-017-1541-5,10.1007/s11136-017-1541-5,An exploration of differences between Japan and two European countries in the self-reporting and valuation of pain and discomfort on the EQ-5D,2017,Quality of Life Research
2013140,A Japanese valuation study for the EQ-5D-5L,Shunya Ikeda,Valuation,2013,doi:10.1016/j.jval.2016.03.1834,10.1016/j.jval.2016.03.1834,Comparison of Value Set Based on DCE and/or TTO Data: Scoring for EQ-5D-5L Health States in Japan,2016,Value in Health
2013170,Further Exploration into using DCE for EQ5D-5L Valuations (FEDEV),Aki Tsuchiya,Valuation,2013,doi:10.1016/j.socscimed.2022.115474,10.1016/j.socscimed.2022.115474,"Do they just know more, or do they also have different preferences? An exploratory analysis of the effects of self-reporting serious health problems on health state valuation",2022,Social Science & Medicine
2013180,Transforming latent utilities to health utilities: Can one function fit other countries?,Feng Xie,Valuation,2013,doi:10.1002/hec.3444,10.1002/hec.3444,Transforming Latent Utilities to Health Utilities: East Does Not Meet West,2016,Health Economics
2013180,Transforming latent utilities to health utilities: Can one function fit other countries?,Feng Xie,Valuation,2013,doi:10.1177/0272989x13475718,10.1177/0272989x13475718,Scoring the 5-Level EQ-5D,2013,Medical Decision Making
2013200,Extension of the labels within the EQ-5D-Y,Wolfgang Greiner,Youth,2013,doi:10.1016/j.zefq.2019.05.011,10.1016/j.zefq.2019.05.011,Entwicklung der deutschen Version des EQ-5D-Y-5L zur Messung der gesundheitsbezogenen Lebensqualität bei Kindern und Jugendlichen: Identifikation von Antwortformulierungen und Pilotierung,2019,Zeitschrift für Evidenz Fortbildung und Qualität im Gesundheitswesen
2013230,Establishing a tool for endorsing EQ-5D valuation studies,Feng Xie,Valuation,2013,doi:10.1177/0272989x13480852,10.1177/0272989x13480852,Comparing EQ-5D Valuation Studies,2013,Medical Decision Making
2013240,Indonesian valuation and validation study of the EQ-5D-5L and its application in families living in unhealthy circumstances and in breast cancer patients,Jan Busschbach,Valuation,2014,doi:10.1007/s11136-016-1445-9,10.1007/s11136-016-1445-9,Employing quality control and feedback to the EQ-5D-5L valuation protocol to improve the quality of data collection,2017,Quality of Life Research
2013240,Indonesian valuation and validation study of the EQ-5D-5L and its application in families living in unhealthy circumstances and in breast cancer patients,Jan Busschbach,Valuation,2014,doi:10.1007/s40273-017-0538-9,10.1007/s40273-017-0538-9,The Indonesian EQ-5D-5L Value Set,2017,Pharmacoeconomics
2013240,Indonesian valuation and validation study of the EQ-5D-5L and its application in families living in unhealthy circumstances and in breast cancer patients,Jan Busschbach,Valuation,2014,doi:10.1016/j.jval.2018.02.003,10.1016/j.jval.2018.02.003,Test-Retest Reliability of EQ-5D-5L Valuation Techniques: The Composite Time Trade-Off and Discrete Choice Experiments,2018,Value in Health
2013240,Indonesian valuation and validation study of the EQ-5D-5L and its application in families living in unhealthy circumstances and in breast cancer patients,Jan Busschbach,Valuation,2014,doi:10.1186/s12889-018-5706-0,10.1186/s12889-018-5706-0,Living in uncertainty due to floods and pollution: the health status and quality of life of people living on an unhealthy riverbank,2018,BMC Public Health
2013240,Indonesian valuation and validation study of the EQ-5D-5L and its application in families living in unhealthy circumstances and in breast cancer patients,Jan Busschbach,Valuation,2014,doi:10.1371/journal.pone.0197098,10.1371/journal.pone.0197098,Quality of life of the Indonesian general population: Test-retest reliability and population norms of the EQ-5D-5L and WHOQOL-BREF,2018,PLoS ONE
2013270,Understanding participant’s responses to the EQ-VT tasks; A qualitative study,Feng Xie,Valuation,2013,doi:10.1007/s11136-015-1073-9,10.1007/s11136-015-1073-9,How dead is dead? Qualitative findings from participants of combined traditional and lead-time time trade-off valuations,2015,Quality of Life Research
2013270,Understanding participant’s responses to the EQ-VT tasks; A qualitative study,Feng Xie,Valuation,2013,doi:10.1097/mlr.0000000000000447,10.1097/mlr.0000000000000447,A Time Trade-off-derived Value Set of the EQ-5D-5L for Canada,2016,Medical Care
2013280,An Irish valuation study for the EQ-5D-5L,Ciaran O'Neill,Valuation,2014,doi:10.1007/s40273-018-0690-x,10.1007/s40273-018-0690-x,Utility Values for Health States in Ireland: A Value Set for the EQ-5D-5L,2018,Pharmacoeconomics
2013280,An Irish valuation study for the EQ-5D-5L,Ciaran O'Neill,Valuation,2014,doi:10.1007/s41669-020-00244-5,10.1007/s41669-020-00244-5,An Exploration on Attribute Non-attendance Using Discrete Choice Experiment Data from the Irish EQ-5D-5L National Valuation Study,2021,PharmacoEconomics Open
2013280,An Irish valuation study for the EQ-5D-5L,Ciaran O'Neill,Valuation,2014,doi:10.1016/j.healthpol.2020.03.005,10.1016/j.healthpol.2020.03.005,Do people with private health insurance attach a higher value to health than those without insurance? Results from an EQ-5D-5 L valuation study in Ireland,2020,Health Policy
2013280,An Irish valuation study for the EQ-5D-5L,Ciaran O'Neill,Valuation,2014,doi:10.1016/j.socscimed.2020.112801,10.1016/j.socscimed.2020.112801,Examining the transnational health preferences of a group of Eastern European migrants relative to a European host population using the EQ-5D-5L,2020,Social Science & Medicine
2013280,An Irish valuation study for the EQ-5D-5L,Ciaran O'Neill,Valuation,2014,doi:10.1186/s12955-018-0985-9,10.1186/s12955-018-0985-9,"Euthanasia, religiosity and the valuation of health states: results from an Irish EQ5D5L valuation study and their implications for anchor values",2018,Health and Quality of Life Outcomes
2013280,An Irish valuation study for the EQ-5D-5L,Ciaran O'Neill,Valuation,2014,doi:10.12688/hrbopenres.12848.1,10.12688/hrbopenres.12848.1,The health of the residents of Ireland: Population norms for Ireland based on the EQ-5D-5L descriptive system – a cross sectional study,2018,HRB Open Research
2013310,Test of reference dependency in EQ-5D-5L health state valuations,Matthijs Versteegh,Valuation,2013,doi:10.1002/hec.3445,10.1002/hec.3445,Are Health State Valuations from the General Public Biased? A Test of Health State Reference Dependency Using Self‐assessed Health and an Efficient Discrete Choice Experiment,2016,Health Economics
2013320,Reintroduction of the ranking task in EQ-5D valuation. Improved data quality and reduced level of inconsistencies?,Juan M. Ramos-Goñi,Valuation,2014,doi:10.1016/j.jval.2016.02.002,10.1016/j.jval.2016.02.002,Does the Introduction of the Ranking Task in Valuation Studies Improve Data Quality and Reduce Inconsistencies? The Case of the EQ-5D-5L,2016,Value in Health
2013320,Reintroduction of the ranking task in EQ-5D valuation. Improved data quality and reduced level of inconsistencies?,Juan M. Ramos-Goñi,Valuation,2014,doi:10.1016/j.jval.2018.05.010,10.1016/j.jval.2018.05.010,"Overview, Update, and Lessons Learned From the International EQ-5D-5L Valuation Work: Version 2 of the EQ-5D-5L Valuation Protocol",2019,Value in Health
2014010,Valuing EQ-5D-5L health states using EQ-VT: Does the Life A health description and/or the ordering of dimensions matter?,Brendan Mulhern,Valuation,2014,doi:10.1016/j.jval.2015.11.005,10.1016/j.jval.2015.11.005,Valuing Health Using Time Trade-Off and Discrete Choice Experiment Methods: Does Dimension Order Impact on Health State Values?,2016,Value in Health
2014020,Supplementary funding 5L value set study England: LSE,Nancy Devlin,Valuation,2014,doi:10.1016/j.jval.2019.10.013,10.1016/j.jval.2019.10.013,The EQ-5D-5L Value Set for England: Response to the “Quality Assurance”,2020,Value in Health
2014025,Supplementary funding 5L value set study England: Sheffield,Ben Van Hout,Valuation,2014,doi:10.1016/j.jval.2019.10.013,10.1016/j.jval.2019.10.013,The EQ-5D-5L Value Set for England: Response to the “Quality Assurance”,2020,Value in Health
2014030,A German Tariff for the EQ-5D-5L - an explorative pre-study,Wolfgang Greiner,Valuation,2014,doi:10.1186/s12955-017-0617-9,10.1186/s12955-017-0617-9,Valuation of the EQ-5D-5L with composite time trade-off for the German population – an exploratory study,2017,Health and Quality of Life Outcomes
2014050,Hong Kong participation BTD-WTD split experiment,Carlos Wong,Valuation,2014,doi:10.1016/j.jval.2017.10.013,10.1016/j.jval.2017.10.013,Evaluation of Split Version and Feedback Module on the Improvement of Time Trade-Off Data,2017,Value in Health
2014060,Separation of the BTD and WTD task in TTO,Elly Stolk,Valuation,2014,doi:10.1016/j.jval.2017.10.013,10.1016/j.jval.2017.10.013,Evaluation of Split Version and Feedback Module on the Improvement of Time Trade-Off Data,2017,Value in Health
2014060,Separation of the BTD and WTD task in TTO,Elly Stolk,Valuation,2014,doi:10.1016/j.jval.2018.05.010,10.1016/j.jval.2018.05.010,"Overview, Update, and Lessons Learned From the International EQ-5D-5L Valuation Work: Version 2 of the EQ-5D-5L Valuation Protocol",2019,Value in Health
2014070,EQVT iteration experiment,Kim Rand,Valuation,2014,doi:10.1016/j.jval.2018.05.010,10.1016/j.jval.2018.05.010,"Overview, Update, and Lessons Learned From the International EQ-5D-5L Valuation Work: Version 2 of the EQ-5D-5L Valuation Protocol",2019,Value in Health
2014090,Prevention of misspecification of the EuroQol tariff through optimal choices on design and analysis. An empirical and simulation based analysis using existing datasets.,Gouke Bonsel,Valuation,2014,doi:10.1016/j.jval.2017.09.001,10.1016/j.jval.2017.09.001,Selecting Health States for EQ-5D-3L Valuation Studies: Statistical Considerations Matter,2017,Value in Health
2014110,Assessing the health of the general population in England: how do the EQ-5D 3L and 5L versions compare?,Michael Herdman,Valuation,2014,doi:10.1007/s11136-017-1541-5,10.1007/s11136-017-1541-5,An exploration of differences between Japan and two European countries in the self-reporting and valuation of pain and discomfort on the EQ-5D,2017,Quality of Life Research
2014110,Assessing the health of the general population in England: how do the EQ-5D 3L and 5L versions compare?,Michael Herdman,Valuation,2014,doi:10.1186/s12955-015-0356-8,10.1186/s12955-015-0356-8,Assessing the health of the general population in England: how do the three- and five-level versions of EQ-5D compare?,2015,Health and Quality of Life Outcomes
2014130,"Understanding the relationship between health behaviors, attitudes and perceptions of HRQL using the EQ-5D",Simon Pickard,Valuation,2014,doi:10.1007/s11136-017-1774-3,10.1007/s11136-017-1774-3,Lifestyle-related attitudes: do they explain self-rated health and life-satisfaction?,2018,Quality of Life Research
2014150,Discrete choice modeling from a different angle,Paul Krabbe,Valuation,2014,doi:10.1007/s40273-018-0647-0,10.1007/s40273-018-0647-0,Head-to-Head Comparison of EQ‐5D‐3L and EQ‐5D‐5L Health Values,2018,Pharmacoeconomics
2014150,Discrete choice modeling from a different angle,Paul Krabbe,Valuation,2014,doi:10.1371/journal.pone.0190111,10.1371/journal.pone.0190111,Eye tracking to explore attendance in health-state descriptions,2018,PLoS ONE
2014160,Comparing valuation of the EQ-5D-Y and the EQ-5D-3L: The impact of wording and perspective,Wolfgang Greiner,Youth,2014,doi:10.1007/s11136-015-0971-1,10.1007/s11136-015-0971-1,Can adult weights be used to value child health states? Testing the influence of perspective in valuing EQ-5D-Y,2015,Quality of Life Research
2014160,Comparing valuation of the EQ-5D-Y and the EQ-5D-3L: The impact of wording and perspective,Wolfgang Greiner,Youth,2014,doi:10.1007/s11136-019-02115-x,10.1007/s11136-019-02115-x,EQ-5D-Y-5L: developing a revised EQ-5D-Y with increased response categories,2019,Quality of Life Research
2014160,Comparing valuation of the EQ-5D-Y and the EQ-5D-3L: The impact of wording and perspective,Wolfgang Greiner,Youth,2014,doi:10.1016/j.jval.2018.05.002,10.1016/j.jval.2018.05.002,"Valuation of EuroQol Five-Dimensional Questionnaire, Youth Version (EQ-5D-Y) and EuroQol Five-Dimensional Questionnaire, Three-Level Version (EQ-5D-3L) Health States: The Impact of Wording and Perspective",2018,Value in Health
2014170,Directly eliciting personal utility functions: a feasibility study of an innovative approach to valuing HRQoL,Nancy Devlin,Others,2014,doi:10.1007/s10198-018-0993-z,10.1007/s10198-018-0993-z,A new method for valuing health: directly eliciting personal utility functions,2018,The European Journal of Health Economics
2014180,EQ-5D-5L Electronic Measurement Equivalence Project,Stephen Coons,Others,2014,doi:10.1007/s40271-020-00419-6,10.1007/s40271-020-00419-6,Agreement Among Paper and Electronic Modes of the EQ-5D-5L,2020,The Patient
2014190,Understanding relationships between the EQ-5D and Personal Well-being,Sarah Derrett,Others,2014,doi:10.5502/ijw.v4i2.2,10.5502/ijw.v4i2.2,Injury characteristics and EQ-5D as predictors of personal wellbeing after injury,2014,International Journal of Wellbeing
2014200,"Development of a proxy English Health-Related Quality of Life (HRQoL) instrument for children under six years of age, derived from the EQ-5D-Y: Part 1",Jennifer Jelsma,Youth,2014,doi:10.1186/s12955-018-0840-z,10.1186/s12955-018-0840-z,Influence of the child's perceived general health on the primary caregiver's health status.,2018,PubMed
2014210,Health-related quality of life and perceived burden of informal caregivers of patients with rare diseases in Europe,Juan M. Ramos-Goñi,Valuation,2014,doi:10.3390/ijerph19138208,10.3390/ijerph19138208,Health-Related Quality of Life and Perceived Burden of Informal Caregivers of Patients with Rare Diseases in Selected European Countries,2022,International Journal of Environmental Research and Public Health
2015020,Valuation of the EQ-5D-5L+R,Maureen Rutten-van Molken,Valuation,2015,doi:10.1016/j.jval.2016.09.1217,10.1016/j.jval.2016.09.1217,Exploring The Impact of Adding A Respiratory Dimension to The EQ-5D-5L,2016,Value in Health
2015020,Valuation of the EQ-5D-5L+R,Maureen Rutten-van Molken,Valuation,2015,doi:10.1177/0272989x19847983,10.1177/0272989x19847983,Exploring the Impact of Adding a Respiratory Dimension to the EQ-5D-5L,2019,Medical Decision Making
2015050,Important aspects of (full) health not captured by EQ-5D,Koonal Shah,Valuation,2015,doi:10.1007/s40271-017-0240-1,10.1007/s40271-017-0240-1,Views of the UK General Public on Important Aspects of Health Not Captured by EQ-5D.,2017,PubMed
2015050,Important aspects of (full) health not captured by EQ-5D,Koonal Shah,Valuation,2015,doi:10.1016/j.jval.2015.10.012,10.1016/j.jval.2015.10.012,An Empirical Study of Two Alternative Comparators for Use in Time Trade-Off Studies,2015,Value in Health
2015070,"Comparing the predictive accuracy of different main-effects regression models on left-out EQ-5D-5L health states: 20-parameter additive model vs. 8, 9, and 11 parameter multiplicative models.",Kim Rand,Valuation,2015,doi:10.1016/j.jval.2017.03.013,10.1016/j.jval.2017.03.013,Less Is More: Cross-Validation Testing of Simplified Nonlinear Regression Model Specifications for EQ-5D-5L Health State Values,2017,Value in Health
2015070,"Comparing the predictive accuracy of different main-effects regression models on left-out EQ-5D-5L health states: 20-parameter additive model vs. 8, 9, and 11 parameter multiplicative models.",Kim Rand,Valuation,2015,doi:10.1177/23814683221083839,10.1177/23814683221083839,Sample Size and Model Prediction Accuracy in EQ-5D-5L Valuations Studies: Expected Out-of-Sample Accuracy Based on Resampling with Different Sample Sizes and Alternative Model Specifications,2022,MDM Policy & Practice
2015110,Estimation of the EQ-5D-5L value set for Portugal,Pedro Ferreira,Valuation,2015,doi:10.1007/s11136-019-02226-5,10.1007/s11136-019-02226-5,A hybrid modelling approach for eliciting health state preferences: the Portuguese EQ-5D-5L value set,2019,Quality of Life Research
2015130,Evaluating consistency between DCE and TTO valuations using multivariate mixed models and multivariate latent class analysis,Eleanor Pullenayegum,Valuation,2015,doi:10.1177/0272989x19841592,10.1177/0272989x19841592,Latent Class Models Reveal Poor Agreement between Discrete-Choice and Time Tradeoff Preferences.,2019,PubMed
2015140,Valuation of the EQ-5D in countries with limited research resources: investigating the potential of shrinkage analysis,Eleanor Pullenayegum,Valuation,2015,doi:10.1177/0272989x16651885,10.1177/0272989x16651885,Handling Regional Variation in Health State Preferences within a Country,2016,Medical Decision Making
2015140,Valuation of the EQ-5D in countries with limited research resources: investigating the potential of shrinkage analysis,Eleanor Pullenayegum,Valuation,2015,doi:10.1177/0272989x17725748,10.1177/0272989x17725748,Conducting EQ-5D Valuation Studies in Resource-Constrained Countries: The Potential Use of Shrinkage Estimators to Reduce Sample Size,2017,Medical Decision Making
2015150,Values for severe states: a methodological and cultural view,Peep Stalmeier,Valuation,2015,doi:10.1007/s11136-017-1512-x,10.1007/s11136-017-1512-x,Cultural values: can they explain self-reported health?,2017,Quality of Life Research
2015150,Values for severe states: a methodological and cultural view,Peep Stalmeier,Valuation,2015,doi:10.1016/j.jval.2019.10.006,10.1016/j.jval.2019.10.006,A Head-On Ordinal Comparison of the Composite Time Trade-Off and the Better-Than-Dead Method,2019,Value in Health
2015150,Values for severe states: a methodological and cultural view,Peep Stalmeier,Valuation,2015,doi:10.1177/0272989x18765184,10.1177/0272989x18765184,Setting Dead at Zero: Applying Scale Properties to the QALY Model,2018,Medical Decision Making
2015150,Values for severe states: a methodological and cultural view,Peep Stalmeier,Valuation,2015,doi:10.1177/0272989x19841587,10.1177/0272989x19841587,Cultural Values: Can They Explain Differences in Health Utilities between Countries?,2019,Medical Decision Making
2015170,"Monitoring neurotrauma patient outcomes in Bandung, Indonesia: A feasibility study",Sarah Derrett,Populations and Health Systems,2015,doi:10.1002/hpm.2406,10.1002/hpm.2406,"The Bandung neurosurgery patient outcomes project, Indonesia (Part II): Patient pathways and feasibility and acceptability of telephone follow‐up",2017,The International Journal of Health Planning and Management
2015170,"Monitoring neurotrauma patient outcomes in Bandung, Indonesia: A feasibility study",Sarah Derrett,Populations and Health Systems,2015,doi:10.1002/hpm.2408,10.1002/hpm.2408,"The Bandung neurosurgery patient outcomes project, Indonesia (Part I): Methods, participant characteristics, and pre‐discharge outcomes",2017,The International Journal of Health Planning and Management
2015180,Exploring non-iterative TTO (ENITTO),Aki Tsuchiya,Valuation,2015,doi:10.1002/hec.3773,10.1002/hec.3773,An exploration of the non‐iterative time trade‐off method to value health states,2018,Health Economics
2015190,No kidding: the validity of discrete choice experiments in children - a pilot study,Simon Pickard,Youth,2015,doi:10.1177/0272989x17700847,10.1177/0272989x17700847,Choice Blindness and Health-State Choices among Adolescents and Adults,2017,Medical Decision Making
2015200,Feasibility and application of the EQ-5D in elderly,Wolfgang Greiner,Populations and Health Systems,2015,doi:10.1007/s11136-021-03007-9,10.1007/s11136-021-03007-9,Feasibility of the EQ-5D in the elderly population: a systematic review of the literature,2022,Quality of Life Research
2015200,Feasibility and application of the EQ-5D in elderly,Wolfgang Greiner,Populations and Health Systems,2015,doi:10.1186/s12955-021-01719-7,10.1186/s12955-021-01719-7,EQ-5D-5L reference values for the German general elderly population,2021,Health and Quality of Life Outcomes
2015200,Feasibility and application of the EQ-5D in elderly,Wolfgang Greiner,Populations and Health Systems,2015,doi:10.1186/s13561-022-00374-y,10.1186/s13561-022-00374-y,Feasibility properties of the EQ-5D-3L and 5L in the general population: evidence from the GP Patient Survey on the impact of age,2022,Health Economics Review
2015200,Feasibility and application of the EQ-5D in elderly,Wolfgang Greiner,Populations and Health Systems,2015,doi:10.1371/journal.pone.0290606,10.1371/journal.pone.0290606,"Exploring differences and similarities of EQ-5D-3L, EQ-5D-5L and WHOQOL-OLD in recipients of aged care services in Germany",2023,PLOS ONE
2015220,The effect of chronic conditions on valuation of EQ?5D?5L health states,Nan Luo,Valuation,2015,doi:10.1007/s11136-017-1683-5,10.1007/s11136-017-1683-5,Comparison of health state values derived from patients and individuals from the general population.,2017,PubMed
2015230,Funding proposal for an scholarship for international travel and cooperation,Jan Busschbach,Education and Outreach,2015,doi:10.1371/journal.pone.0184883,10.1371/journal.pone.0184883,Logical inconsistencies in time trade-off valuation of EQ-5D-5L health states: Whose fault is it?,2017,PLoS ONE
2015240,EQ-5D-5L VALUATION IN POLAND,Dominik Golicki,Valuation,2015,doi:10.1007/s40273-019-00811-7,10.1007/s40273-019-00811-7,Valuation of EQ-5D-5L Health States in Poland: the First EQ-VT-Based Study in Central and Eastern Europe,2019,Pharmacoeconomics
2015270,HRQoL among patients seeking treatment for abuse of illicit substances,Kim Rand,Valuation,2015,doi:10.1186/s41687-020-00247-0,10.1186/s41687-020-00247-0,"Quality of life among patients seeking treatment for substance use disorder, as measured with the EQ-5D-3L",2020,Journal of Patient-Reported Outcomes
2015280,EQ-5D-3L in Hematologic Malignant Neoplasms: a Systematic Review of Health State Utility Values,Dominik Golicki,Descriptive Systems,2015,doi:10.1016/j.jval.2020.04.1825,10.1016/j.jval.2020.04.1825,EQ-5D–Derived Health State Utility Values in Hematologic Malignancies: A Catalog of 796 Utilities Based on a Systematic Review,2020,Value in Health
2015290,"The Effect of Timing, Duration, and Lifespan on Choice",Benjamin Craig,Valuation,2015,doi:10.1016/j.jval.2018.02.004,10.1016/j.jval.2018.02.004,Quality-Adjusted Life-Years without Constant Proportionality,2018,Value in Health
2015300,QALY-balanced DCE designs for health state evaluations,Mark Oppe,Valuation,2015,doi:10.1007/s40273-018-0694-6,10.1007/s40273-018-0694-6,Severity-Stratified Discrete Choice Experiment Designs for Health State Evaluations,2018,Pharmacoeconomics
2015320,A fuzzy approach to time trade-off experiment in EQ-5D-3L valuation,Michał Jakubczyk,Valuation,2016,doi:10.1007/s11238-019-09707-6,10.1007/s11238-019-09707-6,Elicitation and modelling of imprecise utility of health states,2019,Theory and Decision
2015360,Using DCE with duration to value EQ-5D-5L: Simplifying the task completion process,Rosalie Viney,Valuation,2015,doi:10.1177/0272989x17738754,10.1177/0272989x17738754,How Should Discrete Choice Experiments with Duration Choice Sets Be Presented for the Valuation of Health States?,2017,Medical Decision Making
2015390,Can social care needs and well-being be explained by EQ-5D? Analysis of the Health Survey for England dataset.,Jeshika Singh,Valuation,2015,doi:10.1016/j.jval.2018.01.002,10.1016/j.jval.2018.01.002,Can Social Care Needs and Well-Being Be Explained by the EQ-5D? Analysis of the Health Survey for England,2018,Value in Health
2015390,Can social care needs and well-being be explained by EQ-5D? Analysis of the Health Survey for England dataset.,Jeshika Singh,Valuation,2015,doi:10.1186/s12955-016-0540-5,10.1186/s12955-016-0540-5,Proceedings of Patient Reported Outcome Measure’s (PROMs) Conference Sheffield 2016: advances in patient reported outcomes research,2016,Health and Quality of Life Outcomes
2015400,Development of EQ-5D-Y-3L norms data based on a general population sample of children and adolescents in Sweden,Mimmi Åström,Youth,2015,doi:10.1007/s11136-018-1985-2,10.1007/s11136-018-1985-2,Population health status based on the EQ-5D-Y-3L among adolescents in Sweden: Results by sociodemographic factors and self-reported comorbidity,2018,Quality of Life Research
